Name,ASIN,Best Sellers Rank,Date First Available,Item Dimensions LxWxH,Net Quantity,Generic Name,No.of ratings,Price,Rating Out of 5
"Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12",B0BBN4DZBD,"#77 in Electronics (See Top 100 in Electronics)
#12 in Smartphones",9 September 2022,16.5 x 0.9 x 7.7 Centimeters,192 Grams,Smartphone,9198.0,6499.0,4.0
"Nokia 2660 Flip 4G Volte keypad Phone with Dual SIM, Dual Screen, inbuilt MP3 Player & Wireless FM Radio | Blue",B0B9YG883G,"#1,256 in Electronics (See Top 100 in Electronics)
#20 in Basic Mobiles",17 August 2022,20.5 x 5.5 x 1.1 Centimeters,,Feature Phone,662.0,4499.0,3.7
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio | Blue",B09V2PZDX8,"#153 in Electronics (See Top 100 in Electronics)
#2 in Basic Mobiles",8 March 2022,11.5 x 5 x 1.4 Centimeters,1 Piece,Feature Phone,1474.0,1299.0,3.8
"Nokia 105 Plus Single SIM, Keypad Mobile Phone with Wireless FM Radio, Memory Card Slot and MP3 Player | Red",B09YDFDVNS,"#166 in Electronics (See Top 100 in Electronics)
#3 in Basic Mobiles",20 April 2022,11.5 x 5 x 1.4 Centimeters,1 Pack,Feature Phone,124914.0,1358.0,4.0
"(Renewed) Redmi A1 (Light Blue, 2GB RAM, 32GB Storage) | Segment Best AI Dual Cam | 5000mAh Battery | Leather Texture Design | Android 12",B0BPLMWGCY,"#8,387 in Electronics (See Top 100 in Electronics)
#471 in Smartphones",9 December 2022,16.5 x 0.9 x 7.7 Centimeters,192 Grams,Smartphone,3.0,N.A,2.5
"Nokia 105 Plus Single SIM, Keypad Mobile Phone with Wireless FM Radio, Memory Card Slot and MP3 Player | Charcoal",B09YDFKJF8,"#76 in Electronics (See Top 100 in Electronics)
#1 in Basic Mobiles",20 April 2022,11.5 x 5 x 1.4 Centimeters,1 Pack,Feature Phone,124914.0,1358.0,4.0
"Nokia 105 Plus Single SIM, Keypad Mobile Phone with Wireless FM Radio, Memory Card Slot and MP3 Player | Charcoal",B09YDFKJF8,"#76 in Electronics (See Top 100 in Electronics)
#1 in Basic Mobiles",20 April 2022,11.5 x 5 x 1.4 Centimeters,1 Pack,Feature Phone,124914.0,1358.0,4.0
"Redmi 9A Sport (Coral Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",B09GFLXVH9,"#102 in Electronics (See Top 100 in Electronics)
#15 in Smartphones",28 September 2021,16.5 x 0.9 x 7.7 Centimeters,194 Grams,Smartphone,316700.0,6499.0,4.1
"iQOO Z6 44W by vivo (Raven Black, 4GB RAM, 128GB Storage) | 6.44"" FHD+ AMOLED Display | 50% Charge in just 27 mins | in-Display Fingerprint Scanning",B07WGPKTS4,"#666 in Electronics (See Top 100 in Electronics)
#75 in Smartphones",29 April 2022,16.1 x 7.4 x 0.8 Centimeters,1 Count,Smartphone,20580.0,14499.0,4.1
"Samsung Galaxy M13 5G (Midnight Blue, 4GB, 64GB Storage) | 5000mAh Battery | Upto 8GB RAM with RAM Plus",B0B4F1YC3J,"#143 in Electronics (See Top 100 in Electronics)
#21 in Smartphones",16 July 2022,9 x 77 x 165 Millimeters,1 Count,Smartphone,20862.0,11999.0,4.1
